source_partner,source_country,destination_country,TerraPay_gsv,Partner_Gsv,existing/new,regional_director
#####,Poland,Viet Nam,32763697,,NEW,#####
#####,Portugal,Bangladesh,15087639,4452,EXISTING,#####
#####,Portugal,Belgium,8462025,,NEW,#####
#####,Portugal,Brazil,13996672,,NEW,#####
#####,Portugal,Germany,1962195,,NEW,#####
#####,Portugal,India,13024829,,NEW,#####
#####,Portugal,Lithuania,2423875,,NEW,#####
#####,Portugal,Mozambique,32980202,,NEW,#####
#####,Portugal,Senegal,3313841,,NEW,#####
#####,Portugal,Spain,3242966,,NEW,#####
#####,Portugal,United Kingdom,4216036,,NEW,#####
#####,Spain,Bangladesh,42522037,,NEW,#####
#####,Spain,Belgium,22745695,,NEW,#####
#####,Spain,Ghana,19183911,44681,EXISTING,#####
#####,Spain,India,7944101,,NEW,#####
#####,Spain,Italy,8180951,,NEW,#####
#####,Spain,Lithuania,16068919,,NEW,#####
#####,Spain,Mali,30074554,1662,EXISTING,#####
#####,Spain,Portugal,10602312,,NEW,#####
#####,Spain,Senegal,104224232,331,EXISTING,#####
#####,Spain,United Kingdom,8372586,,NEW,#####
#####,Sweden,Egypt,1996762,,NEW,#####
#####,Sweden,Germany,5383818,,NEW,#####
#####,Sweden,Ghana,3240007,147436,EXISTING,#####
#####,Sweden,India,3292289,,NEW,#####
#####,Sweden,Kenya,4653226,168272,EXISTING,#####
#####,Sweden,Spain,3539713,,NEW,#####
#####,Sweden,Tanzania,1989383,57452,EXISTING,#####
#####,Sweden,Uganda,5414617,9705,EXISTING,#####
#####,Sweden,United Kingdom,3011328,,NEW,#####
#####,Sweden,Viet Nam,22272680,,NEW,#####
#####,Switzerland,Cameroon,6294586,,NEW,#####
#####,Switzerland,France,3965994,,NEW,#####
#####,Switzerland,Germany,4667303,,NEW,#####
#####,Switzerland,Ghana,5431586,30326,EXISTING,#####
#####,Switzerland,Italy,5495875,,NEW,#####
#####,Switzerland,Kenya,9216213,172918,EXISTING,#####
#####,Switzerland,Portugal,14612570,,NEW,#####
#####,Switzerland,Senegal,6058142,23427,EXISTING,#####
#####,Switzerland,Spain,10695099,,NEW,#####
#####,Switzerland,Viet Nam,32268605,,NEW,#####
#####,United Kingdom,Bangladesh,222801157,183603,EXISTING,#####
#####,United Kingdom,Ghana,184628486,1026980,EXISTING,#####
#####,United Kingdom,India,722564261,,NEW,#####
#####,United Kingdom,Kenya,372996239,1010472,EXISTING,#####
#####,United Kingdom,Pakistan,34877833,,NEW,#####
#####,United Kingdom,Philippines,57615497,,NEW,#####
#####,United Kingdom,Spain,36806984,,NEW,#####
#####,United Kingdom,Tanzania,52293484,52722,EXISTING,#####
#####,United Kingdom,Uganda,151640757,213343,EXISTING,#####
#####,United Kingdom,Viet Nam,130053730,,NEW,#####
#####,Kuwait,Bangladesh,60585189,10774,EXISTING,#####
#####,Kuwait,Benin,34784875,263736,EXISTING,#####
#####,Kuwait,Ghana,37199718,912600,EXISTING,#####
#####,Kuwait,India,21755223,,NEW,#####
#####,Kuwait,Kenya,25964237,17907,EXISTING,#####
#####,Kuwait,Mali,5920978,550621,EXISTING,#####
#####,Kuwait,Pakistan,5999904,,NEW,#####
#####,Kuwait,Philippines,37163503,187597,EXISTING,#####
